time,timesecs,timens,j0pos,j1pos,j2pos,j3pos,j4pos,j5pos,j0vel,j1vel,j2vel,j3vel,j4vel,j5vel,j0acc,j1acc,j2acc,j3acc,j4acc,j5acc
 1.98,1,986330437,0.670918,-1.910912,1.930326,-1.591068,-1.571477,0.670918,0.89952,-0.735322,0.469394,0.266689,-0.000653,0.89952,2.712357,0.294749,-0.739766,0.447131,-0.001676,2.712357 
 2.00,2,5921154,0.689066,-1.92526,1.939378,-1.585757,-1.57149,0.689066,0.949991,-0.724956,0.452227,0.27353,-0.000683,0.949991,2.425056,0.764517,-1.010595,0.248003,-0.001389,2.425057 
 2.02,2,25301797,0.707935,-1.939166,1.947952,-1.580409,-1.571504,0.707935,0.99845,-0.709186,0.432408,0.277619,-0.00071,0.99845,2.576789,0.863455,-1.034924,0.173588,-0.001412,2.57679 
 2.04,2,44468571,0.727549,-1.952599,1.956049,-1.575056,-1.571518,0.727548,1.044057,-0.688262,0.410354,0.278786,-0.000734,1.044057,2.16946,1.316195,-1.261482,-0.052863,-0.001033,2.169461 
 2.06,2,63605667,0.747926,-1.965529,1.963671,-1.56973,-1.571532,0.747926,1.08645,-0.66235,0.38631,0.276956,-0.000753,1.08645,2.261612,1.392152,-1.251678,-0.138466,-0.001002,2.261613 
 2.08,2,82703622,0.769088,-1.977925,1.97082,-1.564466,-1.571546,0.769088,1.130564,-0.635024,0.362503,0.273477,-0.000772,1.130564,2.358971,1.470043,-1.241809,-0.226057,-0.000963,2.358972 
 2.10,2,101751107,0.791051,-1.989753,1.977499,-1.559298,-1.571561,0.791051,1.176469,-0.606266,0.338943,0.268322,-0.00079,1.176469,2.462127,1.550238,-1.232392,-0.315491,-0.000915,2.462128 
 2.12,2,120734842,0.813829,-2.000983,1.983711,-1.554262,-1.571576,0.813829,1.218057,-0.573281,0.314127,0.260195,-0.000803,1.218057,1.90966,1.916651,-1.376047,-0.538627,-0.000428,1.909662 
 2.13,2,139828586,0.837434,-2.01158,1.989459,-1.549391,-1.571592,0.837433,1.254966,-0.536395,0.288286,0.249187,-0.00081,1.254966,1.957109,1.947912,-1.331387,-0.61442,-0.000343,1.957111 
 2.15,2,159014965,0.861871,-2.021514,1.994745,-1.544723,-1.571607,0.861871,1.292992,-0.498717,0.263142,0.236695,-0.000816,1.292993,2.007743,1.980577,-1.290428,-0.687911,-0.000249,2.007745 
 2.17,2,178273979,0.887145,-2.030752,1.999574,-1.540292,-1.571623,0.887144,1.332171,-0.460249,0.238651,0.222763,-0.000819,1.332172,2.062004,2.015375,-1.253753,-0.759249,-0.000146,2.062006 
 2.19,2,197582957,0.913251,-2.039264,2.003949,-1.536132,-1.571639,0.913251,1.372537,-0.420982,0.214757,0.207437,-0.000821,1.372538,2.120384,2.053141,-1.221976,-0.828653,-3.4e-05,2.120386 
 2.21,2,216916564,0.940183,-2.04702,2.007873,-1.532276,-1.571655,0.940183,1.414127,-0.380899,0.191394,0.190767,-0.000821,1.414127,2.183429,2.094822,-1.195753,-0.896415,8.7e-05,2.183431 
 2.23,2,236246873,0.967927,-2.053991,2.011349,-1.528756,-1.571671,0.967927,1.456976,-0.33997,0.168481,0.172804,-0.000818,1.456977,2.251742,2.141483,-1.175792,-0.962891,0.000219,2.251745 
